PMU2 TR5b (°C), PMGR SOC Die Temp Sensor0 (°C), PMU tcal (°C), ANE MTR Temp Sensor1 (°C), PMU2 TR3d (°C), gas gauge battery (°C), pACC MTR Temp Sensor4 (°C), PMU tdie8 (°C), PMU tdie4 (°C), PMU tdev1 (°C), PMU2 TR5d (°C), PMU TP3w (°C), SOC MTR Temp Sensor2 (°C), pACC MTR Temp Sensor3 (°C), GPU MTR Temp Sensor1 (°C), PMU tdev8 (°C), gas gauge battery (°C), PMU2 TR2l (°C), PMU tdev5 (°C), SOC MTR Temp Sensor1 (°C), PMU2 TR0Z (°C), gas gauge battery (°C), pACC MTR Temp Sensor2 (°C), PMU2 TR4b (°C), pACC MTR Temp Sensor9 (°C), PMU tdev7 (°C), PMU tdie6 (°C), PMU tdev6 (°C), PMU2 TR8b (°C), PMU2 TR2d (°C), gas gauge battery (°C), PMU2 TR6b (°C), PMU tdie1 (°C), SOC MTR Temp Sensor0 (°C), PMU tdie7 (°C), eACC MTR Temp Sensor3 (°C), pACC MTR Temp Sensor8 (°C), PMU2 TR4d (°C), PMU2 TR7b (°C), PMU tdev2 (°C), NAND CH0 temp (°C), PMGR SOC Die Temp Sensor2 (°C), eACC MTR Temp Sensor0 (°C), PMU2 TR1l (°C), pACC MTR Temp Sensor7 (°C), PMU tdie5 (°C), GPU MTR Temp Sensor4 (°C), gas gauge battery (°C), PMU2 TR3b (°C), PMU tdev3 (°C), PMGR SOC Die Temp Sensor1 (°C), ISP MTR Temp Sensor5 (°C), pACC MTR Temp Sensor5 (°C), PMU tdev4 (°C), PMU tdie2 (°C), PMU2 TR1d (°C), gas gauge battery (°C)
46.840454, 52.468750, 51.850006, 30.000000, 43.875000, 32.599991, 73.500000, 54.457672, 54.779526, 41.217392, 38.351364, 53.492111, 66.781250, 78.765625, 30.000000, 39.774780, 33.000000, 46.733170, -21.807404, 57.218750, 51.850006, 33.000000, 74.234375, 47.591446, 74.062500, 50.790329, 54.672241, 35.977478, 47.162308, 34.886871, 33.000000, 47.162308, 55.852371, 52.296875, 60.251038, 57.296875, 78.062500, 38.774780, 46.304031, 51.556458, 38.000000, 63.359375, 57.765625, 47.162308, 71.187500, 58.319916, 30.000000, 32.000000, 46.840454, 57.788467, 55.375000, 30.000000, 64.796875, -21.737610, 61.323883, 42.217392, 33.000000
47.269592, 54.609375, 51.850006, 30.000000, 44.130447, 32.699997, 74.984375, 52.848404, 53.384827, 41.157623, 38.454956, 54.243103, 67.796875, 79.812500, 30.000000, 39.990997, 33.000000, 47.484161, -21.903030, 59.015625, 51.850006, 33.000000, 76.625000, 47.698730, 74.875000, 51.169357, 54.457672, 35.977478, 47.591446, 34.970810, 33.000000, 47.376877, 55.315948, 55.562500, 56.496078, 59.203125, 78.828125, 38.878387, 46.625885, 51.935486, 38.000000, 64.562500, 58.203125, 47.269592, 74.968750, 56.066940, 30.000000, 32.000000, 47.055023, 57.971161, 57.109375, 30.000000, 67.703125, -21.725082, 55.423233, 42.347839, 33.000000
47.162308, 54.609375, 51.850006, 30.000000, 44.385880, 32.699997, 74.984375, 50.273575, 51.882843, 40.570663, 38.454956, 51.668274, 67.796875, 79.812500, 30.000000, 40.380447, 33.099991, 47.269592, -21.762909, 59.015625, 51.850006, 33.000000, 76.625000, 46.840454, 74.875000, 49.053345, 51.668274, 36.193695, 46.196747, 34.970810, 33.099991, 47.591446, 52.526550, 55.562500, 52.419266, 59.203125, 78.828125, 39.090103, 45.874893, 51.362915, 38.000000, 64.562500, 58.203125, 47.591446, 74.968750, 52.311981, 30.000000, 32.000000, 46.947739, 54.056458, 57.109375, 30.000000, 67.703125, -21.820190, 50.809998, 42.603271, 33.000000
47.591446, 54.609375, 51.850006, 30.000000, 44.641312, 32.699997, 74.984375, 48.986160, 49.737152, 40.309784, 38.563065, 50.488144, 67.796875, 79.812500, 30.000000, 40.380447, 33.099991, 48.020584, -21.864670, 59.015625, 51.850006, 33.000000, 76.625000, 48.127869, 74.875000, 47.780014, 48.664291, 36.297302, 47.162308, 35.072083, 33.099991, 47.269592, 51.239136, 55.562500, 50.595428, 59.203125, 78.828125, 39.193695, 46.089462, 50.395172, 38.000000, 64.562500, 58.203125, 46.840454, 74.968750, 50.488144, 30.000000, 32.000000, 47.162308, 52.709686, 57.109375, 30.000000, 67.703125, -21.807404, 49.308014, 42.728271, 33.099991
47.698730, 51.687500, 51.850006, 30.000000, 44.771744, 32.699997, 51.437500, 48.127869, 48.878860, 39.774780, 38.563065, 49.737152, 53.531250, 51.921875, 30.000000, 40.510880, 33.099991, 47.913300, -21.631058, 52.546875, 51.850006, 33.000000, 53.765625, 48.020584, 52.781250, 46.820007, 49.522583, 36.225235, 47.591446, 35.072083, 33.099991, 47.376877, 49.737152, 52.000000, 49.844437, 51.796875, 52.765625, 39.301804, 46.518600, 49.853348, 39.000000, 51.203125, 51.156250, 47.913300, 50.687500, 49.308014, 30.000000, 32.000000, 47.376877, 51.750000, 51.515625, 30.000000, 51.828125, -21.686996, 48.127869, 42.983704, 33.099991
47.698730, 51.687500, 51.850006, 30.000000, 44.771744, 32.699997, 51.437500, 46.840454, 48.878860, 39.671173, 38.774780, 49.308014, 53.531250, 51.921875, 30.000000, 40.641312, 33.099991, 47.698730, -21.750397, 52.546875, 51.850006, 33.000000, 53.765625, 47.913300, 52.781250, 46.026672, 48.771576, 36.117126, 48.127869, 35.072083, 33.099991, 46.196747, 49.629868, 52.000000, 48.449722, 51.796875, 52.765625, 39.405411, 47.269592, 49.533340, 39.000000, 51.203125, 51.156250, 47.698730, 50.687500, 48.557007, 30.000000, 32.000000, 45.982178, 51.362915, 51.515625, 30.000000, 51.828125, -21.674469, 47.591446, 42.858704, 33.099991
48.020584, 51.687500, 51.850006, 30.000000, 44.641312, 32.699997, 51.437500, 46.840454, 47.913300, 39.563065, 38.878387, 48.557007, 53.531250, 51.921875, 30.000000, 40.641312, 33.099991, 48.020584, -21.858276, 52.546875, 51.850006, 33.000000, 53.765625, 48.127869, 52.781250, 45.226669, 47.913300, 36.405411, 47.913300, 35.175690, 33.099991, 47.806015, 49.093445, 52.000000, 48.020584, 51.796875, 52.765625, 39.301804, 47.591446, 49.053345, 39.000000, 51.203125, 51.156250, 47.591446, 50.687500, 46.304031, 30.000000, 32.000000, 47.162308, 50.596786, 51.515625, 30.000000, 51.828125, -21.801010, 46.411316, 42.858704, 33.099991
47.913300, 49.421875, 51.850006, 30.000000, 44.641312, 32.699997, 48.500000, 44.909332, 47.591446, 39.238739, 38.878387, 47.913300, 52.625000, 49.218750, 30.000000, 40.641312, 33.099991, 47.591446, -21.731216, 50.750000, 51.850006, 33.000000, 51.578125, 48.020584, 50.703125, 44.961960, 47.591446, 36.333344, 48.557007, 35.072083, 33.099991, 47.913300, 48.557007, 49.984375, 47.376877, 47.500000, 50.406250, 39.405411, 47.162308, 48.413345, 39.000000, 49.265625, 48.218750, 47.591446, 48.671875, 47.591446, 30.000000, 32.000000, 47.591446, 49.860001, 49.453125, 30.000000, 49.750000, -21.801010, 46.840454, 42.983704, 33.099991
47.591446, 49.421875, 51.850006, 30.000000, 44.385880, 32.699997, 48.500000, 46.089462, 47.162308, 39.400909, 38.878387, 47.591446, 52.625000, 49.218750, 30.000000, 40.510880, 33.099991, 47.055023, -21.731216, 50.750000, 51.850006, 33.000000, 51.578125, 47.698730, 50.703125, 44.538055, 46.089462, 36.225235, 48.020584, 35.175690, 33.099991, 47.591446, 48.127869, 49.984375, 47.591446, 47.500000, 50.406250, 39.617126, 47.591446, 48.260010, 39.000000, 49.265625, 48.218750, 47.913300, 48.671875, 47.162308, 30.000000, 32.000000, 46.840454, 49.386673, 49.453125, 30.000000, 49.750000, -21.674469, 44.694763, 42.728271, 33.099991
48.127869, 49.421875, 51.850006, 30.000000, 44.092392, 32.699997, 48.500000, 46.733170, 48.020584, 39.238739, 38.878387, 48.127869, 52.625000, 49.218750, 30.000000, 40.885880, 33.099991, 48.449722, -21.864670, 50.750000, 51.850006, 33.000000, 51.578125, 48.557007, 50.703125, 44.570663, 47.591446, 36.333344, 48.235153, 35.283798, 33.099991, 48.020584, 48.664291, 49.984375, 48.664291, 47.500000, 50.406250, 39.725235, 47.913300, 48.140015, 39.000000, 49.265625, 48.218750, 48.127869, 48.671875, 48.557007, 30.000000, 32.000000, 47.162308, 49.693344, 49.453125, 30.000000, 49.750000, -21.686996, 47.591446, 42.728271, 33.099991
